ESH;Nothing at All;Nothing at All;1;2019;3
Modern Talking;Brother Louie;Ready For Romance;1;1986;3
DOP;Melancholia;Email From a Beetle;3;2017;4
Sean Tyas;Chrome;Solo Vol.I;2;2019;4
ForeverBound;Stereo Madness;Stereo Madness;1;2012;4
Waterflame;Clutterfunk;Clutterfunk;1;2012;4
Waterflame;Jumper;Jumper;1;2005;4
Waterflame;Time Machine;Time Machine;1;2009;4
Ociya;Gravity Knots;Powers Of Ten;6;2020;4
The White Stripes;Seven Nation Army;Elephant;1;2002;5
Imagine Dragons;Believer;Evolve;4;2017;5
Egor Letov;Against;Battle Incentive;15;1988;5
Egor Letov;We ice;Totalitarianism;1;1987;5
ACDC;Highway to Hell;Highway to Hell;1;1976;5
Mudvayne;Happy?;Lost and Found;3;2005;5
Eminem;Not Afraid;Recovery;7;2010;6
Zamay;Air Tuapse;Lust Hero 2;1;2020;6
Slava KPSS;Man Whithout Skin;Buter Brodsky;3;2019;6
